,Jeux,Discipline,Épreuve,Phase,Genre,Début,Fin,Lieu,horraire,capacité_h,ville,Enjeu
906,Olympiques,Football,éliminatoires  groupe C (C1vsC2),Match N°5,Hommes,2024-07-24 15:00:00+00:00,2024-07-24 17:00:00+00:00,Parc des Princes,2024-07-24 10:00:00+00:00,0.0,Paris (75),Qualifications
913,Olympiques,Football,éliminatoires  groupe A (A1vsA2),Match N°1,Hommes,2024-07-24 21:00:00+00:00,2024-07-24 23:00:00+00:00,Stade de Marseille,2024-07-24 10:00:00+00:00,0.0,Marseille (13),Qualifications
912,Olympiques,Football,éliminatoires  groupe D (D3vsD4),Match N°7,Hommes,2024-07-24 21:00:00+00:00,2024-07-24 23:00:00+00:00,Parc des Princes,2024-07-24 10:00:00+00:00,0.0,Paris (75),Qualifications
911,Olympiques,Football,éliminatoires  groupe B (B3vsB4),Match N°4,Hommes,2024-07-24 19:00:00+00:00,2024-07-24 21:00:00+00:00,Stade de Lyon,2024-07-24 10:00:00+00:00,0.0,Lyon (69),Qualifications
910,Olympiques,Football,éliminatoires  groupe D (D1vsD2),Match N°8,Hommes,2024-07-24 19:00:00+00:00,2024-07-24 21:00:00+00:00,Stade de Bordeaux,2024-07-24 10:00:00+00:00,0.0,Bordeaux (33),Qualifications
909,Olympiques,Football,éliminatoires  groupe A (A3vsA4),Match N°2,Hommes,2024-07-24 17:00:00+00:00,2024-07-24 19:00:00+00:00,Stade de Nice,2024-07-24 10:00:00+00:00,0.0,Nice (06),Qualifications
908,Olympiques,Football,éliminatoires  groupe C (C3vsC4),Match N°6,Hommes,2024-07-24 17:00:00+00:00,2024-07-24 19:00:00+00:00,Stade de la Beaujoire,2024-07-24 10:00:00+00:00,0.0,Nantes (44),Qualifications
907,Olympiques,Football,éliminatoires  groupe B (B1vsB2),Match N°3,Hommes,2024-07-24 15:00:00+00:00,2024-07-24 17:00:00+00:00,Stade Geoffroy-Guichard,2024-07-24 10:00:00+00:00,0.0,Saint-Etienne (42),Qualifications
1399,Olympiques,Rugby,,poules (12 matchs),Hommes,2024-07-24 15:30:00+00:00,2024-07-24 22:00:00+00:00,Stade de France,2024-07-24 10:00:00+00:00,0.0,Saint-Denis (93),Qualifications
906,Olympiques,Football,éliminatoires  groupe C (C1vsC2),Match N°5,Hommes,2024-07-24 15:00:00+00:00,2024-07-24 17:00:00+00:00,Parc des Princes,2024-07-24 16:00:00+00:00,15975.333333333334,Paris (75),Qualifications
907,Olympiques,Football,éliminatoires  groupe B (B1vsB2),Match N°3,Hommes,2024-07-24 15:00:00+00:00,2024-07-24 17:00:00+00:00,Stade Geoffroy-Guichard,2024-07-24 16:00:00+00:00,13988.333333333334,Saint-Etienne (42),Qualifications
912,Olympiques,Football,éliminatoires  groupe D (D3vsD4),Match N°7,Hommes,2024-07-24 21:00:00+00:00,2024-07-24 23:00:00+00:00,Parc des Princes,2024-07-24 16:00:00+00:00,0.0,Paris (75),Qualifications
909,Olympiques,Football,éliminatoires  groupe A (A3vsA4),Match N°2,Hommes,2024-07-24 17:00:00+00:00,2024-07-24 19:00:00+00:00,Stade de Nice,2024-07-24 16:00:00+00:00,12059.333333333334,Nice (06),Qualifications
910,Olympiques,Football,éliminatoires  groupe D (D1vsD2),Match N°8,Hommes,2024-07-24 19:00:00+00:00,2024-07-24 21:00:00+00:00,Stade de Bordeaux,2024-07-24 16:00:00+00:00,7000.0,Bordeaux (33),Qualifications
911,Olympiques,Football,éliminatoires  groupe B (B3vsB4),Match N°4,Hommes,2024-07-24 19:00:00+00:00,2024-07-24 21:00:00+00:00,Stade de Lyon,2024-07-24 16:00:00+00:00,9864.333333333334,Lyon (69),Qualifications
1399,Olympiques,Rugby,,poules (12 matchs),Hommes,2024-07-24 15:30:00+00:00,2024-07-24 22:00:00+00:00,Stade de France,2024-07-24 16:00:00+00:00,51388.666666666664,Saint-Denis (93),Qualifications
908,Olympiques,Football,éliminatoires  groupe C (C3vsC4),Match N°6,Hommes,2024-07-24 17:00:00+00:00,2024-07-24 19:00:00+00:00,Stade de la Beaujoire,2024-07-24 16:00:00+00:00,12491.0,Nantes (44),Qualifications
913,Olympiques,Football,éliminatoires  groupe A (A1vsA2),Match N°1,Hommes,2024-07-24 21:00:00+00:00,2024-07-24 23:00:00+00:00,Stade de Marseille,2024-07-24 16:00:00+00:00,0.0,Marseille (13),Qualifications
907,Olympiques,Football,éliminatoires  groupe B (B1vsB2),Match N°3,Hommes,2024-07-24 15:00:00+00:00,2024-07-24 17:00:00+00:00,Stade Geoffroy-Guichard,2024-07-24 22:00:00+00:00,0.0,Saint-Etienne (42),Qualifications
908,Olympiques,Football,éliminatoires  groupe C (C3vsC4),Match N°6,Hommes,2024-07-24 17:00:00+00:00,2024-07-24 19:00:00+00:00,Stade de la Beaujoire,2024-07-24 22:00:00+00:00,0.0,Nantes (44),Qualifications
909,Olympiques,Football,éliminatoires  groupe A (A3vsA4),Match N°2,Hommes,2024-07-24 17:00:00+00:00,2024-07-24 19:00:00+00:00,Stade de Nice,2024-07-24 22:00:00+00:00,0.0,Nice (06),Qualifications
910,Olympiques,Football,éliminatoires  groupe D (D1vsD2),Match N°8,Hommes,2024-07-24 19:00:00+00:00,2024-07-24 21:00:00+00:00,Stade de Bordeaux,2024-07-24 22:00:00+00:00,16800.0,Bordeaux (33),Qualifications
911,Olympiques,Football,éliminatoires  groupe B (B3vsB4),Match N°4,Hommes,2024-07-24 19:00:00+00:00,2024-07-24 21:00:00+00:00,Stade de Lyon,2024-07-24 22:00:00+00:00,23674.4,Lyon (69),Qualifications
1399,Olympiques,Rugby,,poules (12 matchs),Hommes,2024-07-24 15:30:00+00:00,2024-07-24 22:00:00+00:00,Stade de France,2024-07-24 22:00:00+00:00,46249.8,Saint-Denis (93),Qualifications
913,Olympiques,Football,éliminatoires  groupe A (A1vsA2),Match N°1,Hommes,2024-07-24 21:00:00+00:00,2024-07-24 23:00:00+00:00,Stade de Marseille,2024-07-24 22:00:00+00:00,26957.6,Marseille (13),Qualifications
906,Olympiques,Football,éliminatoires  groupe C (C1vsC2),Match N°5,Hommes,2024-07-24 15:00:00+00:00,2024-07-24 17:00:00+00:00,Parc des Princes,2024-07-24 22:00:00+00:00,0.0,Paris (75),Qualifications
912,Olympiques,Football,éliminatoires  groupe D (D3vsD4),Match N°7,Hommes,2024-07-24 21:00:00+00:00,2024-07-24 23:00:00+00:00,Parc des Princes,2024-07-24 22:00:00+00:00,19170.4,Paris (75),Qualifications
1402,Olympiques,Rugby,,quarts de finale (4 matchs),Hommes,2024-07-25 20:00:00+00:00,2024-07-25 23:00:00+00:00,Stade de France,2024-07-25 10:00:00+00:00,0.0,Saint-Denis (93),Qualifications
1667,Olympiques,Tir à l'arc,Épreuve individuelle,tour de classement,Hommes,2024-07-25 14:15:00+00:00,2024-07-25 17:15:00+00:00,Invalides,2024-07-25 10:00:00+00:00,0.0,Paris (75),Qualifications
1666,Olympiques,Tir à l'arc,Épreuve individuelle,tour de classement,Femmes,2024-07-25 09:30:00+00:00,2024-07-25 12:30:00+00:00,Invalides,2024-07-25 10:00:00+00:00,4000.0,Paris (75),Qualifications
1007,Olympiques,Handball,,tour préliminaire (2 matchs),Femmes,2024-07-25 19:00:00+00:00,2024-07-25 22:30:00+00:00,Arena Paris Sud,2024-07-25 10:00:00+00:00,0.0,Paris (75),Qualifications
915,Olympiques,Football,éliminatoires  groupe A (A3vsA4),Match N°2,Femmes,2024-07-25 17:00:00+00:00,2024-07-25 19:00:00+00:00,Stade Geoffroy-Guichard,2024-07-25 10:00:00+00:00,0.0,Saint-Etienne (42),Qualifications
1400,Olympiques,Rugby,,poules (6 matchs),Hommes,2024-07-25 14:00:00+00:00,2024-07-25 17:00:00+00:00,Stade de France,2024-07-25 10:00:00+00:00,0.0,Saint-Denis (93),Qualifications
1401,Olympiques,Rugby,,placement 9-12 (2 matchs),Hommes,2024-07-25 20:00:00+00:00,2024-07-25 23:00:00+00:00,Stade de France,2024-07-25 10:00:00+00:00,0.0,Saint-Denis (93),Qualifications
914,Olympiques,Football,éliminatoires  groupe C (C1vsC2),Match N°5,Femmes,2024-07-25 17:00:00+00:00,2024-07-25 19:00:00+00:00,Stade de la Beaujoire,2024-07-25 10:00:00+00:00,0.0,Nantes (44),Qualifications
1006,Olympiques,Handball,,tour préliminaire (2 matchs),Femmes,2024-07-25 14:00:00+00:00,2024-07-25 17:30:00+00:00,Arena Paris Sud,2024-07-25 10:00:00+00:00,0.0,Paris (75),Qualifications
1005,Olympiques,Handball,,tour préliminaire (2 matchs),Femmes,2024-07-25 09:00:00+00:00,2024-07-25 12:30:00+00:00,Arena Paris Sud,2024-07-25 10:00:00+00:00,8000.0,Paris (75),Qualifications
917,Olympiques,Football,éliminatoires  groupe B (B3vsB4),Match N°4,Femmes,2024-07-25 19:00:00+00:00,2024-07-25 21:00:00+00:00,Stade de Marseille,2024-07-25 10:00:00+00:00,0.0,Marseille (13),Qualifications
918,Olympiques,Football,éliminatoires,groupe A (A1vsA2) -Match N°1,Femmes,2024-07-25 21:00:00+00:00,2024-07-25 23:00:00+00:00,Stade de Lyon,2024-07-25 10:00:00+00:00,0.0,Lyon (69),Qualifications
919,Olympiques,Football,éliminatoires  groupe B (B1vsB2),Match N°3,Femmes,2024-07-25 21:00:00+00:00,2024-07-25 23:00:00+00:00,Stade de Nice,2024-07-25 10:00:00+00:00,0.0,Nice (06),Qualifications
916,Olympiques,Football,éliminatoires  groupe C (C3vsC4),Match N°6,Femmes,2024-07-25 19:00:00+00:00,2024-07-25 21:00:00+00:00,Stade de Bordeaux,2024-07-25 10:00:00+00:00,0.0,Bordeaux (33),Qualifications
919,Olympiques,Football,éliminatoires  groupe B (B1vsB2),Match N°3,Femmes,2024-07-25 21:00:00+00:00,2024-07-25 23:00:00+00:00,Stade de Nice,2024-07-25 16:00:00+00:00,0.0,Nice (06),Qualifications
917,Olympiques,Football,éliminatoires  groupe B (B3vsB4),Match N°4,Femmes,2024-07-25 19:00:00+00:00,2024-07-25 21:00:00+00:00,Stade de Marseille,2024-07-25 16:00:00+00:00,11232.333333333334,Marseille (13),Qualifications
916,Olympiques,Football,éliminatoires  groupe C (C3vsC4),Match N°6,Femmes,2024-07-25 19:00:00+00:00,2024-07-25 21:00:00+00:00,Stade de Bordeaux,2024-07-25 16:00:00+00:00,7000.0,Bordeaux (33),Qualifications
1005,Olympiques,Handball,,tour préliminaire (2 matchs),Femmes,2024-07-25 09:00:00+00:00,2024-07-25 12:30:00+00:00,Arena Paris Sud,2024-07-25 16:00:00+00:00,0.0,Paris (75),Qualifications
1007,Olympiques,Handball,,tour préliminaire (2 matchs),Femmes,2024-07-25 19:00:00+00:00,2024-07-25 22:30:00+00:00,Arena Paris Sud,2024-07-25 16:00:00+00:00,2000.0,Paris (75),Qualifications
915,Olympiques,Football,éliminatoires  groupe A (A3vsA4),Match N°2,Femmes,2024-07-25 17:00:00+00:00,2024-07-25 19:00:00+00:00,Stade Geoffroy-Guichard,2024-07-25 16:00:00+00:00,13988.333333333334,Saint-Etienne (42),Qualifications
914,Olympiques,Football,éliminatoires  groupe C (C1vsC2),Match N°5,Femmes,2024-07-25 17:00:00+00:00,2024-07-25 19:00:00+00:00,Stade de la Beaujoire,2024-07-25 16:00:00+00:00,12491.0,Nantes (44),Qualifications
